s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2015,72900,1,2016,4,221.58129883,3,2.65,1,,,1,1,2,1,,1,1,0000,70,8,,3,3,2,1,0,0,1,1,0,0,1,1,0,3,1,0,1,2,2,1,2,1,2,1,0,1,2,1,1,2,1,1,0,997914,1,4,4,0,0,0,0,4,13025,10247,10788,2778,16406,8448,0,0,2340,8448,0,338,0,2002,0,8448,0,0,0,0,0,338,0,0,0,0,0,0,0,0,541,0,224,317,19184,900,218,2778,939,501,3133,173,2278,6349,1914,1,5953,4993.960213,813.8,0,145,109779,888135,1
2015,72918,1,2016,4,81.563598633,1,1.25,0,,,,,,1,,1,1,0000,70,8,,3,3,2,1,0,0,1,1,0,0,1,0,1,0,0,1,2,2,2,1,2,2,2,2,0,0,2,1,1,1,,1,0,686523,1,3,3,0,0,0,0,3,4855,2600,2703,2255,1199,0,0,0,2703,0,0,2703,0,0,0,0,0,0,0,0,0,0,2703,0,0,0,0,0,0,0,103,0,0,103,3454,85,108,2255,274,0,0,381,0,351,0,2,1419,0,1380.6,0,38,127565,558958,1
2015,72926,1,2016,4,163.07969666,3,2.65,1,,,,,,3,1,2,1,0000,70,8,,3,3,2,0,1,1,1,1,0,0,1,0,1,3,1,2,2,2,2,1,1,2,2,2,1,0,2,1,1,2,1,1,0,997914,3,4,4,0,0,0,0,6,18023,14524,16911,3499,12264,12422,0,185,4304,12422,0,4304,0,0,0,12422,0,0,0,185,0,0,4304,0,0,0,0,0,0,0,2387,1070,503,814,15763,2264,419,2778,1462,4500,400,1943,12,1773,212,1,4350,0,4169.1,0,181,,997914,1
2015,72934,1,2016,4,112.1242981,6,4.25,1,,1,1,,2,4,2,2,1,0000,42,6,,1,4,3,0,1,1,1,2,1,0,1,1,1,0,0,3,3,2,2,1,1,2,2,2,0,0,2,1,1,2,1,1,0,2550099,2,8,8,0,0,0,0,4,19836,14800,20173,5036,49481,19834,0,0,338,19834,0,338,0,0,0,19834,0,0,0,0,0,338,0,0,0,0,0,0,0,0,5373,3217,1064,1092,54517,5512,2244,5137,4473,336,381,667,3180,30887,1700,4,7989,6039.1909495,1950,0,0,,2550099,1
2015,72942,1,2016,4,430.45941162,3,2.65,2,1,,,,1,2,1,1,1,0000,42,6,,1,4,3,1,0,0,1,1,0,0,1,0,1,0,0,0,2,2,2,1,1,2,2,2,0,0,2,2,1,2,,1,0,1100000,3,3,3,0,0,0,0,6,17844,14881,15911,2963,7095,14259,0,0,1652,14259,0,150,1502,0,0,8334,5925,0,0,0,0,150,0,0,0,0,0,0,0,0,1030,264,264,502,10058,541,348,2992,757,1918,0,332,0,1885,1285,4,909,0,908.7,0,0,511942,588058,1
2015,72959,1,2016,4,124.86129761,3,2.65,2,,,,,,3,1,2,1,0000,42,6,,1,4,3,1,0,0,1,1,1,0,1,0,0,0,0,1,3,2,2,1,1,2,2,2,0,0,2,2,1,2,,,0,,,5,5,1,0,2,2,3,11434,11434,12831,0,13379,9628,0,0,3203,0,0,3203,0,0,0,0,0,0,9628,0,0,0,3203,0,0,0,0,0,0,0,1397,196,722,479,13379,1248,868,3932,1181,147,149,1238,3790,366,461,4,3917,1149.5813155,2767.7,0,0,,0,1
2015,72967,12,2015,4,247.83459473,5,3.75,2,1,1,1,,3,2,1,1,1,8600,52,4,,4,5,5,0,1,1,1,1,0,1,1,1,1,2,1,2,6,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,0,6000000,3,5.5,5.5,0,0,0,0,9,38896,31573,45000,7323,21747,44474,0,0,526,44474,0,526,0,0,0,36338,8136,0,0,0,0,526,0,0,0,0,0,0,0,0,13427,9035,2380,2012,29070,3325,672,7038,5806,205,305,1502,7393,2535,288,1,6419,4785.1260255,1634.1,0,0,1171868,4828132,1
2015,72975,12,2015,4,207.75639343,3,2.65,1,,,,,,3,2,1,1,8600,52,4,,4,5,5,0,1,1,1,1,0,1,1,0,1,3,0,2,3,2,2,1,2,1,2,2,0,0,2,1,1,2,1,1,1,2500000,3,5,5,0,0,0,0,6,17953,11289,14730,6664,14152,14730,0,0,0,14730,0,0,0,0,0,14730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3441,1813,791,837,20816,3004,2096,6789,1774,140,0,401,1557,4681,374,1,2049,0,2048.8,0,0,86546,3913454,1
2015,72983,1,2016,4,272.89471436,4,3.2,2,,,,,,4,3,1,1,8600,52,4,,4,5,5,0,1,1,1,1,0,0,1,0,0,1,0,1,1,2,2,1,2,1,2,2,1,0,2,1,1,2,1,1,0,1963528,3,4,4,0,0,0,0,9,38808,33735,51192,5073,8772,51192,0,0,0,51192,0,0,0,0,0,6491,0,44701,0,0,0,0,0,0,0,0,0,0,0,0,17457,12265,2812,2380,13845,1694,1806,5224,1455,736,0,518,306,2030,77,2,4373,2849.1069325,1523.6,0,0,,1963528,1
2015,72991,1,2016,4,150.70979309,1,1.25,0,,,,,,1,,1,1,8600,52,4,,4,5,5,0,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,0,0,2,1,1,1,,1,1,1564126,2,3,3,0,0,0,0,4,5783,1907,2103,3876,8436,0,0,0,2103,0,0,2103,0,0,0,0,0,0,0,0,0,0,2103,0,0,0,0,0,0,0,196,0,0,196,12312,2626,785,3948,945,935,30,1052,854,946,192,1,983,0,893.1,0,90,,3064126,1
