s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_3,nefashot4_5,nefashot6_11,nefashot12_15,nefashotad18,yeladim0_1,yeladim2_4,yeladim5_9,yeladim10_14,yeladim15_17,nefashot18up,men18up,women18up,religion,nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,cable_tv,digital__receiver,satellite_dish,internet,phones,cell_phones,cars,value_car,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39
2012,7138,2,2012,1,215.84182739,1,1.25,0,,,,,,0,0,0,0,0,1,1,,1,0,0000,24,10,,,2,2,1,0,0,0,1,0,0,0,0,1,1,0,0,2,2,2,1,2,2,2,1,1,,0,2,2,,,2,2,2,0,0,2,6,7669,5478,5666,2191,3170,0,0,3339,2327,0,0,2327,0,0,0,0,0,0,0,3339,0,0,2327,0,0,0,0,0,0,188,0,0,188,5360,902,44,2191,1707,101,99,101,149,66,
2012,7146,2,2012,1,112.62245178,4,3.2,2,,,2,,2,0,0,2,0,0,2,1,1,2,0,0000,24,10,,,2,2,1,0,0,1,1,0,0,1,1,1,1,1,3,3,2,2,1,2,2,1,1,2,1,79000,2,2,,,3,3,1,0,3,2,4,14936,14670,16155,266,10618,15728,0,0,427,7082,0,427,0,0,0,7082,0,0,8645,0,0,427,0,0,0,0,0,0,0,1485,0,895,590,11559,1934,536,1553,1598,,212,674,2795,2058,198
2012,7153,3,2012,1,260.33303833,2,2,1,,,,,,0,0,0,0,0,2,1,1,1,0,0000,24,10,,,2,2,1,0,0,1,1,1,0,1,0,0,2,1,1,2,2,2,1,2,2,1,1,2,1,38000,2,2,,,3,3,2,0,0,2,8,17791,15052,15450,2739,5438,4553,0,6678,4219,4553,0,4219,0,0,0,4553,0,0,0,6678,0,0,4219,0,0,0,0,0,0,398,0,18,380,8261,799,306,2713,938,,379,928,1400,731,67
2012,7161,3,2012,1,154.32215881,3,2.65,2,,,,,,0,0,0,0,0,3,2,1,2,0,0000,24,6,1,2,2,2,1,0,1,0,1,0,0,1,0,1,2,1,2,0,2,2,1,2,2,1,1,2,1,12500,1,2,244608,3,3.5,3.5,0,0,0,0,5,13682,11170,11679,2512,7178,6708,0,0,4971,6708,0,4971,0,0,0,5873,0,835,0,0,0,0,2853,0,0,0,0,2118,0,509,0,86,423,9816,2173,719,2470,1049,411,152,280,291,1256,1015
2012,7179,3,2012,1,131.90574646,2,2,0,,,,,,0,0,0,0,0,2,1,1,1,0,0000,24,6,1,2,2,2,1,0,0,0,1,0,0,1,0,1,2,0,0,1,2,2,1,2,2,2,1,,,0,1,2,400000,3,3,3,0,0,0,0,6,12981,10927,11586,2054,2583,0,0,8571,3015,0,4264,3015,0,0,0,0,0,0,0,4307,0,0,3015,0,0,0,0,0,0,659,279,0,380,4637,806,199,2054,523,,,785,196,75,
2012,7187,3,2012,1,176.41929626,4,3.2,2,,,,,,0,0,0,0,0,4,2,2,1,0,0000,24,6,1,2,2,2,1,0,0,1,1,0,0,1,0,0,2,1,1,0,2,2,2,1,1,1,1,2,,0,1,2,250000,1,3.5,3.5,0,0,0,0,3,12354,9884,10433,2470,9694,4276,0,0,6157,4276,0,4893,1265,0,0,3264,0,1011,0,0,0,174,0,0,0,4719,0,0,0,549,0,93,456,12164,2282,97,2470,769,,70,438,93,5137,808
2012,7195,4,2012,2,257.5425415,3,2.65,1,,,,,,0,0,0,0,0,3,2,1,1,0,0000,24,6,1,2,2,2,1,0,0,1,1,0,0,1,0,0,3,1,1,2,2,2,1,2,2,1,1,1,,0,1,2,500000,3,4,4,0,0,0,0,2,8223,5753,6265,2470,3641,4547,0,0,1718,4547,0,1718,0,0,0,4547,0,0,0,0,0,0,1718,0,0,0,0,0,0,512,0,79,433,6111,902,386,2470,888,101,,879,247,239,
2012,7203,4,2012,2,200.72257996,6,4.25,2,,,1,,1,0,0,1,0,0,5,3,2,1,0,0000,24,6,1,2,2,2,0,1,1,1,1,0,1,1,0,1,4,1,3,2,2,2,1,2,2,1,1,2,2,70000,1,2,900000,2,5,5,0,0,0,0,8,36160,32615,36709,3545,16172,33907,0,0,2802,33907,0,2802,0,0,0,21183,8823,0,0,0,0,175,2627,0,0,0,0,0,0,4094,1280,1411,1403,21966,2872,560,3279,1859,258,139,3643,2208,7148,
2012,7211,4,2012,2,161.18597412,2,2,2,,,,,,0,0,0,0,0,2,1,1,1,0,0000,24,6,1,2,2,2,0,1,1,1,1,1,1,1,1,1,2,0,1,1,2,2,1,2,2,1,1,2,1,41000,1,1,1039494,2,5,5,0,0,0,0,8,18263,15171,16231,3092,10960,16231,0,0,0,16231,0,0,0,0,0,10866,5365,0,0,0,0,0,0,0,0,0,0,0,0,1060,0,447,613,14927,2936,1829,3068,1333,625,1252,604,460,2585,236
2012,7229,3,2012,1,111.04580688,2,2,1,,,,,,0,0,0,0,0,2,1,1,1,0,0000,24,6,1,2,2,2,1,0,0,1,1,0,0,1,0,1,2,1,1,3,2,2,2,1,1,1,1,2,,0,1,2,450000,3,3,3,0,0,0,0,3,7667,5613,6009,2054,4892,1062,0,877,4070,1062,877,4070,0,0,0,1062,0,0,0,0,0,0,4070,0,0,0,0,0,0,396,0,16,380,6946,1396,342,2144,297,178,1605,338,59,522,66
