s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2016,84491,7,2016,3,176.55651855,4,3.2,2,,,1,1,2,2,1,1,1,0000,31,6,4,3,3,1,0,0,1,1,1,1,1,1,2,3,0,3,2,2,2,2,1,1,2,1,0,1,2,1,1,2,1,1,0,1800000,2,5,5,0,0,0,0,9,38349,34207,48118,4142,13628,47780,0,0,338,47780,0,338,0,0,0,29330,18449,0,0,0,0,338,0,0,0,0,0,0,0,0,13911,9144,2594,2173,17770,2819,657,4309,3129,2735,27,766,1464,1642,223,1,5676,4061.3293998,1491.7574145,122.5640347,0,,1800000,1
2016,84509,8,2016,3,270.13607788,1,1.25,0,,,,,,1,,1,1,4000,31,3,4,3,4,0,1,1,1,1,0,0,1,0,1,2,0,0,2,1,2,1,2,1,2,1,1,0,2,1,1,,,1,0,1000000,2,3,3,0,0,0,0,6,9087,6694,7180,2393,1726,0,0,4488,2693,0,0,2693,0,0,0,0,0,0,0,4488,0,0,2693,0,0,0,0,0,0,0,486,291,0,195,4119,329,0,2476,677,68,0,220,209,139,0,1,1636,0,1503.188506,0,133,,1000000,1
2016,84517,8,2016,3,126.82359314,2,2,0,,,,,,2,1,1,1,4000,31,3,4,3,4,0,1,1,1,2,0,1,1,1,1,2,0,1,5,2,2,2,1,1,2,2,1,0,2,1,1,2,2,1,0,2092240,3,5,5,0,0,0,0,10,32688,23622,25928,9066,11518,0,0,21939,3989,0,0,3989,0,0,0,0,0,0,0,21939,0,0,3989,0,0,0,0,0,0,0,2306,1916,0,390,20584,1419,1122,4400,2149,182,770,1109,1039,8394,0,1,3298,0,3297.86984,0,0,,2092240,1
2016,84525,9,2016,3,335.76449585,1,1.25,1,,,,,,1,1,,1,4000,31,3,4,3,4,0,1,1,1,1,0,0,1,1,0,1,0,0,1,2,2,2,2,1,2,2,0,0,2,2,,1,,,0,,,3,3,1,0,2,2,4,5925,5925,6421,0,5649,6421,0,0,0,6421,0,0,0,0,0,6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,207,76,213,5649,1240,257,2392,406,152,0,290,365,482,65,1,1023,0,1023.082671,0,0,,0,1
2016,84533,8,2016,3,113.00652313,2,2,1,,,,,,2,1,1,1,4000,31,3,4,3,4,1,0,0,2,1,0,0,1,0,1,0,0,3,2,2,2,1,2,1,2,2,0,0,2,1,1,2,,,0,,,3,3,1,0,2,2,3,8298,8298,8772,0,16481,3556,0,0,5216,0,728,0,4488,0,728,0,0,0,3556,0,0,0,0,0,0,0,0,0,0,0,474,0,261,213,16481,4190,2354,2890,919,0,1078,425,30,2512,2083,4,4920,4027.5000458,651.572204,0,241,,0,1
2016,84541,8,2016,3,160.33938599,2,2,1,,,,,,2,1,1,1,4000,31,3,4,3,4,0,1,1,1,1,0,0,1,1,0,2,0,1,1,2,2,1,2,2,2,2,0,0,2,1,,2,,,0,,,4,4,0,0,0,0,4,10170,7048,7648,3122,9924,7648,0,0,0,7648,0,0,0,0,0,7648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,163,162,275,13045,1895,113,3121,1025,164,596,126,3284,1742,978,1,3005,2353.4920808,651.572204,0,0,,0,1
2016,84558,8,2016,3,155.43069458,2,2,2,,,,,,2,1,1,1,0000,22,10,3,1,1,1,0,0,1,1,0,0,1,1,0,3,0,1,1,2,1,1,1,1,2,2,0,0,2,1,,2,1,1,1,1153014,3,4,4,0,0,0,0,8,20543,17127,19527,3416,17446,17859,0,0,1668,17859,0,1668,0,0,0,14460,3399,0,0,0,0,0,0,0,0,0,1668,0,0,0,2400,955,668,777,20050,3170,0,2724,1621,0,894,297,1341,9006,997,1,2046,0,2046.1653431,0,0,,2653014,1
2016,84566,7,2016,3,164.86413574,5,3.75,1,,2,1,,3,2,1,1,1,0000,29,8,3,1,1,0,1,1,1,1,0,0,1,0,0,3,0,1,3,2,2,1,2,2,2,2,1,0,2,1,,2,1,1,0,700000,3,4,4,0,0,0,0,2,10237,7324,7702,2913,10992,7176,0,0,526,7176,0,526,0,0,0,7176,0,0,0,0,0,526,0,0,0,0,0,0,0,0,378,0,127,251,13905,3293,181,2913,712,1495,160,337,0,1872,2943,1,6326,4851.1004712,1474.6107775,0,0,275017,424983,1
2016,84574,8,2016,3,129.36619568,3,2.65,2,,,,1,1,2,1,1,1,4000,31,3,4,3,4,0,1,1,1,1,0,1,1,1,1,3,0,2,5,2,2,2,2,1,2,1,1,0,2,1,1,2,1,1,0,1900000,3,4,4,0,0,0,0,9,32961,29084,39863,3877,19514,39713,0,0,150,26749,0,150,0,0,0,9737,17012,0,12964,0,0,150,0,0,0,0,0,0,0,0,10779,6682,2326,1771,23392,7295,704,3288,2174,553,1441,1598,1714,2234,2391,1,3907,2444.2959094,1463.1796863,0,0,,1900000,1
2016,84582,8,2016,3,242.29498291,4,3.2,2,2,,,,2,2,1,1,1,4000,31,3,4,3,4,0,1,1,1,1,0,1,1,1,2,1,1,2,4,2,2,1,1,1,1,2,0,1,2,1,1,2,2,1,0,2000000,3,5,5,0,0,0,0,10,60655,55260,98197,5395,48607,97860,0,0,337,97860,0,337,0,0,0,95079,2781,0,0,0,0,337,0,0,0,0,0,0,0,0,42937,40048,1511,1378,52947,3908,37,4602,6007,14709,3117,1848,5172,11210,2337,1,3766,1617.0334904,2149.0451647,0,0,392690,1607310,1
