s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_4,nefashot5_9,nefashot10_14,nefashot15_17,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,computer,a_conditioner,c_heating,f_heating,water_heating,security_room,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,Electric_Scooter,Electric_Bicycle,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,i141101,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Social_Transfer_in_Kind_Total,STIK_From_Education,STIK_From_Health,STIK_From_Welfare,STIK_From_property_tax,Mortgage_balance_or_housing_loan,Net_property_value,religion
2018,13854,4,2018,2,178.27528381,5,3.75,2,2,,,,2,3,1,2,3,0000,31,6,3,3,3,1,0,0,1,0,0,0,1,0,1,3,1,1,2,2,1,2,1,2,1,1,0,2,2,1,2,2,0,0,,0,,,4,4,1,0,2,2,2,11039,11039,11960,0,15139,11618,0,0,342,11618,0,342,0,0,0,6968,4650,0,0,0,0,342,0,0,0,0,0,0,0,0,0,921,233,183,505,15139,1424,508,2719,1615,0,554,570,4497,3252,0,5,5798,3493.9653274,2304.458927,0,0,,0,5
2018,13862,3,2018,1,222.38876343,3,2.65,1,1,,,,1,2,1,1,1,0000,31,6,3,3,3,1,0,0,1,1,0,0,1,0,0,2,1,2,2,2,1,2,1,2,1,2,0,2,1,,2,,0,0,,0,,,3,3,1,0,2,2,2,9922,9922,10212,0,6982,6630,0,0,3582,6630,0,3582,0,0,0,6630,0,0,0,0,0,151,0,0,0,3431,0,0,0,0,0,290,0,71,219,6982,214,0,2417,302,122,266,525,2274,863,0,3,6936,3301.2622874,1396.087552,2010.5905308,228,,0,1
2018,13870,3,2018,1,139.83528137,5,3.75,2,1,,2,,3,2,1,1,1,0000,61,10,3,3,2,1,0,0,1,1,0,0,1,0,1,3,1,4,2,2,1,2,1,2,1,1,0,2,1,1,2,2,0,0,,0,,,3,3,1,0,2,2,2,13829,13829,16075,0,11585,15543,0,0,532,4596,0,532,0,0,0,4596,0,0,10947,0,0,532,0,0,0,0,0,0,0,0,0,2246,819,831,596,11585,1524,11,2722,2100,112,1217,683,1241,1076,900,2,7801,6057.4467771,1743.585326,0,0,677321,0,1
2018,13888,4,2018,2,507.71221924,3,2.65,2,,,,,,3,1,2,1,0000,31,6,2,3,2,1,0,0,1,2,0,0,1,0,0,2,1,1,2,2,1,2,2,1,2,0,0,2,1,1,2,1,0,0,1,0,600000,3,3,3,0,0,0,0,6,20205,17774,18808,2431,25886,12650,0,3028,3129,12650,0,3129,0,0,0,5905,0,6746,0,3028,0,0,0,0,0,3129,0,0,0,0,0,1034,412,109,513,28317,13472,1620,2612,510,476,2246,1489,1806,3925,161,2,5522,1247.1227637,2389.809257,1784.231391,101,,600000,1
2018,13896,4,2018,2,316.89715576,2,2,2,,,,,,2,1,1,1,0000,31,6,2,3,2,0,1,1,1,1,0,1,1,1,1,2,2,3,2,2,1,1,1,2,2,0,0,2,1,1,2,1,0,0,1,0,1600000,2,5,4,0,0,0,0,7,16463,13120,14872,3343,13609,13358,0,0,1514,13358,0,1514,0,0,0,10733,2624,0,0,0,0,0,1514,0,0,0,0,0,0,0,0,1752,753,377,622,16952,1230,408,8097,1854,255,0,2287,571,2064,185,1,3642,0,3517.652912,0,124,428639,1171361,1
2018,13904,4,2018,2,315.5975647,1,1.25,1,,,,,,1,1,,1,9100,24,5,3,2,2,0,1,0,1,1,0,0,1,0,0,1,1,1,2,2,1,2,2,1,2,0,0,2,2,,1,1,0,0,1,0,700000,3,3,3,0,0,0,0,10,21965,19466,24452,2499,4561,22434,2019,0,0,22434,0,0,0,0,0,22434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4986,2804,1174,1008,7060,1628,156,2499,933,188,0,262,403,889,103,3,1122,0,1121.747202,0,0,349264,1050736,1
2018,13912,4,2018,2,314.28549194,6,4.25,1,,1,1,,2,4,2,2,2,0000,25,9,2,3,3,0,1,1,1,1,1,1,1,0,0,1,1,0,2,2,2,2,2,2,2,1,1,1,1,,2,1,0,0,1,0,1001043,4,4,4,0,0,0,0,1,12359,10363,10758,1996,19660,2542,0,0,8216,2542,0,8216,0,0,0,2542,0,0,0,0,0,342,0,0,0,7873,0,0,0,0,0,395,0,21,374,21656,3298,1822,1996,552,245,2410,590,4223,5760,759,3,11700,6057.4467771,2060.60084,3568.462782,13,,1001043,3
2018,13920,4,2018,2,259.23736572,2,2,0,,,,,,2,1,1,2,0000,24,9,2,3,2,0,1,0,0,1,0,0,1,0,0,1,0,1,2,2,1,1,2,2,2,0,0,1,2,,1,,0,0,1,0,726743,4,3,3,0,0,0,0,2,6500,3944,4048,2556,5900,0,0,0,4048,0,0,4048,0,0,0,0,0,0,0,0,0,0,4048,0,0,0,0,0,0,0,0,104,0,0,104,8456,2118,776,2556,1908,87,352,118,44,61,436,3,3120,0,2950.682859,0,169,,726743,3
2018,13938,5,2018,2,239.19093323,1,1.25,0,,,,,,1,,1,2,0000,25,9,2,3,3,0,1,1,0,1,0,0,1,0,1,1,0,1,2,2,1,2,2,2,2,0,0,1,2,,1,,0,0,1,0,1006014,4,4,4,0,0,0,0,3,5013,3017,3121,1996,7735,0,0,0,3121,0,0,3121,0,0,0,0,0,0,0,0,0,0,3121,0,0,0,0,0,0,0,0,104,0,0,104,9731,2361,2077,1996,816,233,256,1757,134,101,0,3,1791,0,1603.366925,0,188,,1006014,3
2018,13946,4,2018,2,257.83010864,2,2,0,,,,,,2,1,1,1,4000,31,3,4,4,4,0,1,1,1,1,1,1,1,0,1,1,1,2,2,2,1,1,1,2,2,1,0,2,1,1,2,1,0,0,1,0,1800000,2,5,5,0,0,0,0,10,37412,33057,38761,4355,10394,0,0,34320,4441,0,0,4441,0,0,0,0,0,0,0,34320,0,0,4441,0,0,0,0,0,0,0,0,5704,5306,0,398,14749,2457,479,4406,1135,0,0,1291,1401,3013,567,1,3669,0,3517.652912,0,151,,1800000,1
