s_seker,misparmb,hodesh_hakira,shnat_hakira,quarter,weight,nefashot,nefeshstandartit,mefarnesim,nefashot0_3,nefashot4_5,nefashot6_11,nefashot12_15,nefashotad18,nefashot18up,men18up,women18up,Nationality,yshuv,nafa,zurat_y,pitua,cluster,madadpereferia,madadpotentziali,tanur_ba,tanur_b,tanur_a,microwave,refrigerator,deep_freezer,dish_washer,washing_m,dryer,v_cleaner,television,dvd,computer,a_conditioner,c_heating,f_heating,cable_tv,digital__receiver,water_purification_device,Tablet,Gamer,satellite_dish,internet,phones,cell_phones,cars,value_car,baalut,owned_appartement_not_for_living,value_d,mocher_d,sah_hadarim,hadarim,rented_d,add_payers,maskir,mafteah,decile,total_net,net,i1kaspit,iinkind,c3kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,dirotBaalutLoGarim,religion
2014,9589,1,2014,1,432.40609741,3,2.65,1,,,,,,3,1,2,1,4000,31,3,,4,3,4,0,1,1,1,1,0,1,1,0,1,3,0,2,1,2,2,1,2,2,0,0,2,1,1,2,,0,1,2,1177138,1,4,4,0,0,0,0,6,17972,14980,16162,2992,8333,1310,0,9991,4861,1310,0,4861,0,0,0,1310,0,0,0,9991,0,0,4861,0,0,0,0,0,0,1182,650,17,515,11325,1824,537,3204,2150,264,387,1815,486,509,148,2,0,1
2014,9597,1,2014,1,331.10110474,3,2.65,2,1,,,,1,2,1,1,3,4000,31,3,,4,3,4,1,0,0,1,1,0,1,1,1,1,0,0,3,2,2,2,2,2,1,0,0,2,1,,2,1,0,,2,,,3,3,1,0,2,2,7,19194,17013,22257,2181,12805,22117,0,0,140,22117,0,140,0,0,0,19221,2896,0,0,0,0,140,0,0,0,0,0,0,0,5244,3236,1014,994,14987,1736,431,2308,974,209,0,481,5299,3064,486,1,0,5
2014,9605,1,2014,1,533.21612549,4,3.2,2,,,2,,2,2,1,1,3,4000,31,3,,4,3,4,0,1,1,1,1,0,1,1,0,1,2,1,3,2,2,2,1,2,1,1,0,2,1,1,2,1,0,1,2,800000,3,4,4,0,0,0,0,6,20740,17748,20425,2992,13863,20146,0,0,279,20146,0,279,0,0,0,8964,11183,0,0,0,0,279,0,0,0,0,0,0,0,2677,1157,713,807,16855,3643,709,2992,1030,211,796,1331,1872,4141,131,1,0,5
2014,9613,3,2014,1,76.702697754,1,1.25,1,,,,,,1,,1,1,0000,23,7,1,3,3,2,0,1,1,1,1,0,1,1,0,1,2,1,1,1,2,2,1,2,2,0,0,2,1,1,1,1,0,1,2,750000,2,3,3,0,0,0,0,8,11565,8802,9681,2763,14302,8279,0,0,1403,8279,0,1403,0,0,0,8279,0,0,0,0,0,0,0,1403,0,0,0,0,0,879,346,222,311,16956,1452,383,2654,973,2614,66,4431,819,2337,1225,1,0,1
2014,9621,4,2014,2,131.5868988,4,3.2,2,,,,2,2,2,1,1,3,0000,31,6,,3,3,3,0,1,1,1,1,0,1,1,1,1,0,0,3,2,2,2,2,2,2,3,1,2,1,,2,1,0,1,1,800000,3,4,4,0,0,0,0,3,11699,8805,9138,2894,3692,8857,0,0,281,8857,0,281,0,0,0,5002,3855,0,0,0,0,281,0,0,0,0,0,0,0,333,8,37,288,6587,1141,565,2890,889,54,0,199,335,445,70,1,1,5
2014,9639,4,2014,2,150.27679443,4,3.2,2,1,,1,,2,2,1,1,3,0000,31,6,,3,3,3,0,1,1,1,1,0,0,1,0,1,2,1,2,1,2,2,2,1,1,1,0,1,1,1,2,1,0,,2,,,3,3,1,0,2,2,5,17894,17894,18757,0,19941,9207,0,0,9549,9207,0,9549,0,0,0,7017,2190,0,0,0,0,234,0,0,0,0,0,0,9315,863,278,174,411,19941,2390,449,3614,1244,3106,1095,648,828,5887,680,1,0,2
2014,9647,4,2014,2,138.11659241,2,2,0,,,,,,2,1,1,1,0000,31,6,,3,3,3,0,1,1,1,1,0,1,1,0,1,3,1,1,2,2,2,1,2,2,1,0,2,1,1,2,1,0,1,1,1000000,3,4,4,0,0,0,0,8,18441,15721,17162,2720,11716,0,0,12545,4617,0,0,4617,0,0,0,0,0,0,0,12545,0,0,4617,0,0,0,0,0,0,1441,1047,0,394,14436,1605,767,2837,1604,1168,501,1326,1005,2969,656,1,1,1
2014,9654,4,2014,2,322.27749634,2,2,2,,,,,,2,1,1,1,0000,31,6,,3,3,3,0,1,1,1,1,0,1,1,0,0,1,1,2,3,2,2,2,2,1,0,0,2,1,1,2,,0,,2,,,3.5,3.5,0,0,0,0,5,11276,8557,9380,2719,8316,9380,0,0,0,9380,0,0,0,0,0,7087,2293,0,0,0,0,0,0,0,0,0,0,0,0,823,288,152,383,11036,995,217,2720,560,44,99,41,5770,422,168,1,0,1
2014,9662,4,2014,2,92.01309967,2,2,1,,1,,,1,1,,1,1,0000,31,6,,3,3,3,0,1,1,1,1,0,1,1,0,0,1,0,1,1,2,2,2,2,2,0,0,2,1,1,1,1,0,1,2,1200000,2,4,4,0,0,0,0,7,14688,11968,14330,2720,7095,14189,0,0,141,14189,0,141,0,0,0,14189,0,0,0,0,0,141,0,0,0,0,0,0,0,2362,1124,632,606,9815,1086,229,2720,1675,23,490,329,1325,1699,239,1,0,1
2014,9670,4,2014,2,108.61450195,2,2,0,,,,,,2,1,1,1,0000,31,6,,3,3,3,0,1,1,1,1,0,1,1,0,1,2,0,0,1,2,2,1,2,2,0,0,2,2,1,1,1,0,1,2,1100000,1,4,4,0,0,0,0,8,19389,16669,17977,2720,7518,0,0,14063,3914,0,0,3914,0,0,0,0,0,0,0,14063,0,0,3914,0,0,0,0,0,0,1308,914,0,394,10238,2538,560,2720,1035,107,0,1552,226,1178,321,1,0,1
