S_Seker,MisparMb,Hodesh_Hakira,Shnat_Hakira,Quarter,Weight,Nefashot,NefeshStandartit,Mefarnesim,Nefashot0_4,Nefashot5_9,Nefashot10_14,Nefashot15_17,NefashotAd18,Nefashot18Up,Men18up,Women18up,Nationality,Yshuv,Nafa,Zurat_Y,Cluster,MadadPereferia,Tanur_Ba,Tanur_B,Tanur_A,Microwave,Refrigerator,Deep_Freezer,Dish_Washer,Washing_M,Dryer,V_Cleaner,Television,Computer,A_Conditioner,C_Heating,F_Heating,Water_Heating,Security_Room,Cable_Tv,Water_Purification_Device,Tablet,Gamer,Satellite_Dish,internet,Phones,Cell_Phones,Cars,Electric_Scooter,Electric_Bicycle,Baalut,Owned_Appartement_Not_For_Living,Value_D,Mocher_D,Sah_Hadrim,Hadrim,Rented_D,Add_Payers,Maskir,Mafteah,Decile,Total_Net,Net,i1Kaspit,iInKind,c3Kaspit,i11,i12,i13,i14,i111,i132,i141,i142,i143,i144,i111_rmb,i111_bz,i111_aher,i112_i113,i131011,i131029,i141010,i141028,i141036,i141044,i141051,i141069,i141077,i141085,i141093,i141101,t21,t211,t212,t213,c3,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,RamatDatiyut,Sex_RMB,MaamadRMB,Religion
2021,29505,4,2021,2,558.759,1,1.25,0,,,,,,1,,1,1,3000,11,1,1,5,0,1,1,1,1,0,0,0,0,1,1,0,1,1,2,2,2,1,2,0,0,2,2,1,1,,0,0,,0,,,1,1,1,3,1,2,4,6459,4461,4461,1998,1338,0,0,0,4461,0,0,3142,1319,0,0,0,0,0,0,0,0,0,3142,0,0,0,0,0,0,0,0,0,0,0,0,3336,199,234,2259,114,0,0,302,152,77,0,1,2,3,1
2021,29506,4,2021,2,546.983,5,3.75,1,2,1,,,3,2,1,1,1,0,70,6,3,3,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,0,0,2,1,2,1,1,0,0,1,0,1700000,3,4,4,0,0,0,0,6,26273,21713,24989,4560,11629,18365,0,0,6624,18365,0,6624,0,0,0,18365,0,0,0,0,0,543,0,0,0,0,6081,0,0,0,0,3277,1634,853,790,16189,3610,768,4614,1130,0,0,273,3561,1261,972,3,1,1,1
2021,29507,4,2021,2,114.624,2,2,0,,,,,,2,1,1,1,0,70,6,3,3,0,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,2,1,,2,1,0,0,1,0,2800000,2,4,4,0,0,0,0,9,25026,20466,20466,4560,8435,0,0,8885,11580,0,0,11580,0,0,0,0,0,0,0,8885,0,0,2027,0,0,6081,3472,0,0,0,0,0,0,0,0,12995,1208,130,4711,1543,101,505,1974,1241,594,988,2,2,3,1
2021,29508,4,2021,2,367.168,1,1.25,0,,,,,,1,,1,3,4000,31,3,4,4,0,1,1,1,1,0,0,1,0,1,1,1,1,2,2,1,1,1,1,0,0,2,1,,1,,0,0,,0,,,2,2,0,0,0,0,3,5568,4197,4197,1371,2696,0,0,0,4197,0,0,3240,957,0,0,0,0,0,0,0,0,0,3240,0,0,0,0,0,0,0,0,0,0,0,0,4067,1155,239,1371,231,0,30,472,71,498,0,1,2,3,5
2021,29509,4,2021,2,150.093,2,2,0,,,,,,2,1,1,1,6500,32,4,3,4,1,0,0,1,2,1,0,1,0,1,3,1,4,2,2,1,2,1,1,0,0,2,1,1,1,,0,0,1,0,2500000,3,4,3,0,0,0,0,4,11047,8354,8354,2693,8534,0,0,0,8354,0,0,4713,3375,0,267,0,0,0,0,0,0,0,4713,0,0,0,0,0,0,0,0,0,0,0,0,11227,2059,30,2801,4748,225,121,594,357,225,67,1,2,3,1
2021,29510,4,2021,2,309.281,3,2.65,3,,,,,,3,2,1,3,6500,32,4,3,4,1,0,0,1,1,0,1,1,1,1,3,1,3,2,2,1,1,1,2,1,0,2,1,,2,2,0,0,1,0,950000,3,3,3,0,0,0,0,6,19687,16994,18167,2693,7355,18167,0,0,0,18167,0,0,0,0,0,6717,0,11450,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,424,139,610,10048,2703,968,2693,860,1056,171,420,64,1112,0,1,1,1,2
2021,29511,4,2021,2,92.437,1,1.25,1,,,,,,1,,1,1,7100,61,4,3,3,0,1,1,1,1,0,1,1,1,1,2,0,2,2,2,1,1,1,2,0,0,2,2,,1,1,0,0,1,0,990000,2,5,5,0,0,0,0,10,20334,15907,19837,4427,4145,17506,0,0,2331,17506,0,2331,0,0,0,17506,0,0,0,0,0,0,0,2331,0,0,0,0,0,0,0,3929,2382,798,750,8572,783,584,4554,591,0,1008,259,767,15,10,1,2,1,1
2021,29512,4,2021,2,1001.121,4,3.2,0,,1,,,1,3,1,2,1,7100,61,4,3,3,0,1,1,1,1,0,1,1,0,0,3,1,1,2,2,1,2,1,2,1,0,2,1,,2,1,0,0,1,0,500000,3,2,2,0,0,0,0,2,9878,7451,7451,2427,3942,0,0,0,7451,0,0,7451,0,0,0,0,0,0,0,0,0,154,0,0,0,7297,0,0,0,0,0,0,0,0,0,6369,666,198,2427,735,0,0,894,773,676,0,1,2,3,1
2021,29513,4,2021,2,261.98,2,2,0,,,,,,2,1,1,1,0,24,6,2,2,0,1,1,1,1,0,0,1,0,1,2,1,3,2,2,1,2,1,1,0,0,2,1,1,,,0,0,1,0,450000,1,3,3,0,0,0,0,4,10624,8519,8519,2105,3536,0,0,2432,6086,0,0,4763,1323,0,0,0,0,0,0,2432,0,0,4763,0,0,0,0,0,0,0,0,0,0,0,0,5641,1008,113,2156,295,78,292,1379,161,158,0,1,1,3,1
2021,29514,4,2021,2,183.368,2,2,0,,,,,,2,1,1,1,0,24,6,2,2,0,1,1,1,1,1,0,1,0,1,4,1,4,2,2,1,2,1,1,0,0,2,2,1,2,1,0,0,1,0,900000,3,5,5,0,0,0,0,7,17408,13784,13784,3624,6846,0,0,9730,4054,0,0,4054,0,0,0,0,0,0,0,9730,0,0,4054,0,0,0,0,0,0,0,0,0,0,0,0,10470,802,422,3725,1158,207,0,1508,287,1594,767,1,1,3,1
2021,29515,4,2021,2,501.89,6,4.25,0,2,,2,,4,2,1,1,1,0,24,6,2,2,0,1,1,2,1,1,0,1,1,1,0,1,2,2,2,2,2,2,1,0,0,2,1,,2,1,0,1,,0,,,5,5,1,0,2,2,2,15028,15028,15028,0,12597,0,0,0,15028,0,0,12596,1368,1064,0,0,0,0,0,0,0,738,0,0,0,6588,5270,0,0,0,0,0,0,0,0,12597,4872,0,3117,1327,588,0,96,916,894,787,3,2,3,1
2021,29516,4,2021,2,547.449,5,3.75,3,1,1,,,2,3,2,1,1,0,24,6,2,2,1,0,0,1,1,0,0,1,1,1,5,3,2,2,2,1,1,1,1,0,1,2,1,,2,2,0,0,1,0,1400000,2,5,5,0,0,0,0,6,28323,24699,26805,3624,16757,24439,0,0,2366,24439,0,2366,0,0,0,2450,0,21989,0,0,0,349,0,0,0,0,2017,0,0,0,0,2106,0,936,1170,20381,5138,623,3624,2388,371,1179,1217,2489,3246,106,2,1,1,1
