s_seker,MisparMB,c3,c30,c300,c300012,c300038,c300046,c300053,c300061,c300079,c300087,c300202,c300210,c300228,c300236,c300244,c300301,c300319,c300327,c300335,c300343,c300400,c300418,c300426,c300442,c300459,c300467,c300475,c300483,c300491,c300509,c300517,c301,c301010,c301028,c301036,c301044,c301051,c301069,c302,c302018,c302026,c302034,c302042,c302059,c302067,c302075,c302083,c302109,c302117,c302125,c302133,c302141,c302158,c302166,c302174,c302182,c302190,c302208,c302216,c302224,c302232,c302240,c302257,c302265,c302273,c302303,c302315,c302323,c303,c303016,c303032,c303040,c303057,c303065,c303073,c303081,c303099,c303107,c303115,c304,c304014,c304022,c304030,c304048,c304105,c304113,c304121,c304139,c304147,c304154,c304162,c304170,c304188,c304204,c304212,c304303,c304311,c305,c305011,c305037,c305045,c305052,c305060,c305078,c305086,c305094,c305102,c305110,c305128,c305136,c305193,c306,c306019,c306027,c306035,c306043,c306050,c306068,c306076,c307,c307017,c307025,c307033,c307041,c307058,c308,c308015,c308023,c308031,c308049,c308064,c308080,c309,c309013,c309021,c309039,c309047,c309054,c309062,c309070,c309088,c309096,c309104,c309120,c309138,c309153,c309179,c309187,c309203,c309211,c309229,c309237,c309245,c309252,c309278,c309286,c309294,c309310,c309336,c309344,c309351,c309997,c317115
2012,79442,7564,303,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,65,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,79459,10636,1022,301,0,0,41,0,0,0,0,0,0,0,0,0,45,69,22,0,0,0,0,0,53,0,0,22,37,0,12,0,23,0,0,0,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,71,0,0,0,0,0,61,348,61,0,0,0,8,0,93,36,0,74,0,50,25,0,0,0,0,43,13,0,0,0,0,0,0,0,30,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,21,0,0,0,30,0,0,0,0,0,0,45,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
2012,79467,17188,2546,858,0,0,30,0,188,0,0,0,0,0,35,0,0,48,0,102,0,0,16,102,0,0,0,0,0,68,105,167,39,0,0,39,0,0,0,306,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,134,0,0,0,70,0,121,0,0,0,90,0,231,0,0,0,0,0,0,0,82,149,0,0,0,0,336,0,0,61,110,165,0,0,0,0,0,0,0,0,126,0,61,0,65,0,0,236,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
2012,79475,19562,1913,367,0,0,0,22,0,0,0,0,0,0,17,0,0,22,0,22,39,28,6,0,100,0,0,0,0,37,0,76,136,93,0,43,0,0,0,567,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,213,34,0,0,0,0,0,0,0,0,0,0,0,69,50,0,50,0,0,0,0,0,0,0,0,157,24,0,0,0,0,0,32,0,0,28,0,57,16,0,0,0,0,50,0,0,0,0,0,13,0,26,11,0,0,0,0,96,0,0,71,0,24,0,0,47,0,47,0,0,0,0,0,0,0,0,0,0,444,0,0,43,0,0,0,97,0,0,0,0,58,35,0,0,0,0,0,0,0,0,76,56,78,0,0,0,0,0,13
2012,79483,22786,2477,1004,77,34,34,64,0,39,0,0,0,42,0,0,0,216,19,301,0,24,0,53,75,0,0,0,0,24,0,0,41,0,0,41,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,43,0,13,0,0,0,106,361,43,0,0,0,0,0,71,0,0,0,0,76,0,0,0,171,0,247,11,0,26,0,0,43,6,0,138,0,23,0,0,74,0,0,0,0,25,49,0,0,0,0,0,0,0,65,0,65,0,0,0,0,371,14,0,0,32,0,0,0,0,0,53,0,0,10,0,0,182,0,0,0,19,0,0,0,60,0,0,0,0,0,0
2012,79491,16147,1344,219,11,0,0,0,0,39,0,0,0,0,37,0,0,0,45,30,0,0,0,24,0,0,0,18,0,15,0,0,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,42,0,0,0,39,59,0,0,0,137,0,50,0,0,0,24,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,142,0,0,0,0,524,0,524,0,0,0,0,37,0,0,0,0,0,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,79509,13329,1518,320,0,69,22,33,22,0,0,69,13,39,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,369,54,0,0,0,86,48,52,8,37,0,0,25,0,0,0,58,0,108,65,0,0,0,0,0,0,0,43,0,0,0,0,44,0,0,13,31,0,0,0,276,255,22,0,0,0,106,65,0,0,0,0,41,265,0,0,0,117,0,0,0,35,0,0,0,56,15,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,79517,17756,1799,869,24,0,130,179,13,0,41,43,0,0,0,0,0,90,0,127,59,0,0,13,91,0,0,0,0,0,58,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,126,0,126,0,0,0,0,0,0,0,0,534,116,0,0,0,15,61,69,0,0,66,39,37,0,0,0,131,0,81,0,0,0,0,0,30,0,51,0,0,0,0,0,88,37,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0
2012,79525,4664,235,22,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,65,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
2012,79533,5178,784,173,28,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,52,0,0,0,0,0,0,0,0,167,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,154,0,0,0,0,0,0,0,0,179,19,0,0,0,0,0,71,0,0,89,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
